j	k	likelihood
0.01	9100	-816622.586676149
0.01	9150	-816621.126546564
0.01	9200	-816619.674606456
0.01	9250	-816618.230765444
0.01	9300	-816616.794934608
0.01	9350	-816615.367026538
0.01	9400	-816613.946955173
0.01	9450	-816612.53463588
0.01	9500	-816611.129985385
0.01	9550	-816609.732921728
0.01	9600	-816608.34336426
0.01	9650	-816606.961233605
0.01	9700	-816605.586451636
0.01	9750	-816604.218941435
0.01	9800	-816602.858627302
0.01	9850	-816601.505434694
0.01	9900	-816600.159290226
0.01	9950	-816598.820121616
0.01	10000	-816597.487857714
0.01	10050	-816596.162428422
0.01	10100	-816594.843764723
0.01	10150	-816593.531798627
0.01	10200	-816592.226463143
0.01	10250	-816590.927692297
0.01	10300	-816589.635421098
0.01	10350	-816588.349585476
0.01	10400	-816587.070122347
0.01	10450	-816585.796969512
0.01	10500	-816584.530065685
0.01	10550	-816583.269350466
0.01	10600	-816582.014764326
0.01	10650	-816580.766248581
0.01	10700	-816579.523745387
0.01	10750	-816578.287197721
0.01	10800	-816577.056549365
0.01	10850	-816575.831744878
0.01	10900	-816574.612729618
0.01	10950	-816573.399449673
0.01	11000	-816572.191851909
0.01	11050	-816570.989883895
0.01	11100	-816569.793493946
0.01	11150	-816568.602631057
0.01	11200	-816567.417244941
0.01	11250	-816566.237285972
0.01	11300	-816565.062705208
0.01	11350	-816563.893454351
0.01	11400	-816562.729485766
0.01	11450	-816561.570752422
0.01	11500	-816560.417207952
0.01	11550	-816559.26880656
0.01	11600	-816558.125503071
0.01	11650	-816556.987252888
0.01	11700	-816555.854012036
0.01	11750	-816554.725737034
0.01	11800	-816553.602385039
0.01	11850	-816552.483913714
0.01	11900	-816551.370281275
0.01	11950	-816550.261446469
0.01	12000	-816549.157368576
0.015	50	-817626.355237765
0.015	100	-817284.044975548
0.015	150	-817087.876258482
0.015	200	-816951.375066151
0.015	250	-816847.216175625
0.015	300	-816763.280154175
0.015	350	-816693.148317114
0.015	400	-816633.019185237
0.015	450	-816580.459769613
0.015	500	-816533.821271341
0.015	550	-816491.936035407
0.015	600	-816453.947708975
0.015	650	-816419.210098299
0.015	700	-816387.223917545
0.015	750	-816357.595606655
0.015	800	-816330.009595312
0.015	850	-816304.209076642
0.015	900	-816279.982344303
0.015	950	-816257.152870313
0.015	1000	-816235.571960914
0.015	1050	-816215.113227891
0.015	1100	-816195.668363224
0.015	1150	-816177.143865854
0.015	1200	-816159.458474719
0.015	1250	-816142.541133004
0.015	1300	-816126.329357457
0.015	1350	-816110.767919772
0.015	1400	-816095.807771266
0.015	1450	-816081.405159016
0.015	1500	-816067.520893968
0.015	1550	-816054.119740908
0.015	1600	-816041.169906707
0.015	1650	-816028.642608409
0.015	1700	-816016.511706905
0.015	1750	-816004.753394366
0.015	1800	-815993.3459265
0.015	1850	-815982.269391968
0.015	1900	-815971.505513052
0.015	1950	-815961.037472622
0.015	2000	-815950.849763317
0.015	2050	-815940.928055674
0.015	2100	-815931.259082361
0.015	2150	-815921.830536257
0.015	2200	-815912.630980401
0.015	2250	-815903.649768343
0.015	2300	-815894.876973148
0.015	2350	-815886.303324406
0.015	2400	-815877.920151825
0.015	2450	-815869.719334766
0.015	2500	-815861.693256975
0.015	2550	-815853.834765849
0.015	2600	-815846.137135737
0.015	2650	-815838.594034752
0.015	2700	-815831.199494778
0.015	2750	-815823.947884271
0.015	2800	-815816.833883497
0.015	2850	-815809.85246207
0.015	2900	-815802.998858404
0.015	2950	-815796.268561002
0.015	3000	-815789.657291309
0.015	3050	-815783.160988029
0.015	3100	-815776.775792693
0.015	3150	-815770.498036497
0.015	3200	-815764.324228045
0.015	3250	-815758.251042207
0.015	3300	-815752.275309727
0.015	3350	-815746.394007699
0.015	3400	-815740.60425072
0.015	3450	-815734.903282695
0.015	3500	-815729.288469289
0.015	3550	-815723.757290871
0.015	3600	-815718.307335971
0.015	3650	-815712.936295194
0.015	3700	-815707.641955607
0.015	3750	-815702.422195409
0.015	3800	-815697.274979038
0.015	3850	-815692.198352598
0.015	3900	-815687.190439515
0.015	3950	-815682.249436579
