"","V1","V2","likelihood_estimates"
"450",0.05,750,-4574705.81662226
"451",0.05,765,-4575162.47379171
"452",0.05,780,-4575610.547026
"453",0.05,795,-4576050.35513079
"454",0.05,810,-4576482.19941871
"455",0.05,825,-4576906.36496841
"456",0.05,840,-4577323.12177341
"457",0.05,855,-4577732.72578949
"458",0.05,870,-4578135.41989338
"459",0.05,885,-4578531.43476139
"460",0.05,900,-4578920.98967343
"461",0.05,915,-4579304.29325416
"462",0.05,930,-4579681.54415302
"463",0.05,945,-4580052.9316716
"464",0.05,960,-4580418.6363425
"465",0.05,975,-4580778.83046314
"466",0.05,990,-4581133.67859032
"467",0.05,1005,-4581483.33799812
"468",0.05,1020,-4581827.95910197
"469",0.05,1035,-4582167.68585238
"470",0.05,1050,-4582502.65610118
"471",0.05,1065,-4582833.00194138
"472",0.05,1080,-4583158.85002416
"473",0.05,1095,-4583480.32185487
"474",0.05,1110,-4583797.5340678
"475",0.05,1125,-4584110.59868396
"476",0.05,1140,-4584419.6233513
"477",0.05,1155,-4584724.71157029
"478",0.05,1170,-4585025.96290429
"479",0.05,1185,-4585323.47317668
"480",0.05,1200,-4585617.33465717
"481",0.05,1215,-4585907.63623469
"482",0.05,1230,-4586194.46358139
"483",0.05,1245,-4586477.89930603
"484",0.05,1260,-4586758.02309851
"485",0.05,1275,-4587034.91186605
"486",0.05,1290,-4587308.63986174
"487",0.05,1305,-4587579.2788048
"488",0.05,1320,-4587846.89799552
"489",0.05,1335,-4588111.56442223
"490",0.05,1350,-4588373.34286401
"491",0.05,1365,-4588632.29598568
"492",0.05,1380,-4588888.48443098
"493",0.05,1395,-4589141.96690619
"494",0.05,1410,-4589392.8002637
"495",0.05,1425,-4589641.03957922
"496",0.05,1440,-4589886.73822392
"497",0.05,1455,-4590129.94793572
"498",0.05,1470,-4590370.71888426
"499",0.05,1485,-4590609.09973407
"500",0.05,1500,-4590845.1377045
"501",0.06,15,-4500365.03763622
"502",0.06,30,-4513069.79119638
"503",0.06,45,-4521598.40338742
"504",0.06,60,-4528050.15366488
"505",0.06,75,-4533252.89237621
"506",0.06,90,-4537618.71178928
"507",0.06,105,-4541383.34495642
"508",0.06,120,-4544694.604244
"509",0.06,135,-4547651.42793802
"510",0.06,150,-4550323.36386102
"511",0.06,165,-4552761.20085379
"512",0.06,180,-4555003.1807197
"513",0.06,195,-4557078.82979465
"514",0.06,210,-4559011.42857677
"515",0.06,225,-4560819.66269253
"516",0.06,240,-4562518.76109601
"517",0.06,255,-4564121.30170801
"518",0.06,270,-4565637.79482304
"519",0.06,285,-4567077.11409728
"520",0.06,300,-4568446.82059398
"521",0.06,315,-4569753.41026397
"522",0.06,330,-4571002.5056189
"523",0.06,345,-4572199.00606421
"524",0.06,360,-4573347.20716514
"525",0.06,375,-4574450.8962516
"526",0.06,390,-4575513.42978711
"527",0.06,405,-4576537.79652755
"528",0.06,420,-4577526.66949654
"529",0.06,435,-4578482.44907251
"530",0.06,450,-4579407.2989546
"531",0.06,465,-4580303.17637765
"532",0.06,480,-4581171.85764415
"533",0.06,495,-4582014.95982194
"534",0.06,510,-4582833.95927717
"535",0.06,525,-4583630.20758261
"536",0.06,540,-4584404.94523556
"537",0.06,555,-4585159.31353683
"538",0.06,570,-4585894.36492211
